HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
18471, ,24740,BD+22   605 ,4744.0,1218.0,59.21679166666666,22.47825,5.62,32.0, ,Tau,HD  24740,03 56 52.03,+22 28 41.7,5.62,59.21680322,22.47825021,22.31,69.43,-114.82,0.92,0.345, ,59.21698585,22.47797113,44.82294935006723,8.770706937243677,14.722806358709201,41.41751394257785
18485, ,24769,BD+22   607 ,4747.0,1221.0,59.265833333333326,23.17558333333333,6.05,33.0, ,Tau,HD  24769,03 57 03.80,+23 10 32.1,6.05,59.26584139,23.17559132,6.14,8.95,-16.98,1.03,0.031,P,59.26586505,23.17555005,162.86644951140067,32.75667998816354,55.093671582327,149.72363755994363
18532, ,24760,BD+39   895 ,4759.0,1220.0,59.46341666666666,40.01027777777777,2.9,45.0,eps,Per,HD  24760,03 57 51.22,+40 00 37.0,2.9,59.46342138,40.01027315,6.06,12.61,-24.06,0.82,-0.199, ,59.4634614,40.01021467,165.01650165016503,53.90474377839046,91.37862676757243,126.39094502818502
18543,M,25025,BD-13   781 ,4778.0,1231.0,59.50720833333333,-13.50825,2.97,34.0,gam,Eri,HD  25025,03 58 01.73,-13 30 29.7,2.97,59.50720862,-13.50824471,14.75,60.51,-111.34,0.75,1.588, ,59.50735988,-13.50851533,67.79661016949153,-8.035811244797891,-13.646025902188468,65.92110485412682
18597, ,25422,CP-61   290 ,4808.0,1247.0,59.68641666666666,-61.40013888888888,4.56,,del,Ret,HD  25422,03 58 44.74,-61 24 00.5,4.56,59.68640623,-61.40015059,6.15,9.79,-14.39,0.46,1.59, ,59.68645594,-61.40018557,162.60162601626016,-72.05641473636761,-123.24269253471844,77.8357283981153
18614,M,24912,BD+35   775 ,4779.0,1228.0,59.74125,35.79102777777777,3.98,46.0,ksi,Per,HD  24912,03 58 57.90,+35 47 27.7,3.98,59.74124892,35.79102701,1.84,1.92,2.3,0.7,0.016, ,59.74125467,35.7910326,543.4782608695652,160.16283459568652,274.53939597573464,440.8453317313917
18673, ,25267,CD-24  2022 ,4801.0,1240.0,59.98116666666666,-24.01625,4.62,36.0,tau09,Eri,HD  25267,03 59 55.48,-24 00 58.5,4.62,59.98115045,-24.01625677,9.85,11.41,17.08,0.68,-0.121,P,59.98118081,-24.01621526,101.52284263959392,-20.671442452086403,-35.77682494042183,92.73401663767315
18724, ,25204,BD+12   539 ,4805.0,1239.0,60.17008333333333,12.490388888888887,3.41,35.0,lam,Tau,HD  25204,04 00 40.82,+12 29 25.4,3.41,60.17008591,12.49037571,8.81,-8.15,-11.98,0.99,-0.099, ,60.17006562,12.49034659,113.50737797956867,12.211287326366715,21.296317397989124,110.82091942820946
18744, ,25705,CP-62   312 ,4855.0,1264.0,60.22420833333332,-62.1593611111111,4.48,,gam,Ret,HD  25705,04 00 53.81,-62 09 33.7,4.48,60.2241876,-62.15936923,6.65,1.8,34.95,0.48,1.5, ,60.22419697,-62.15928428,150.37593984962405,-66.03382818764078,-115.41461153381809,70.22766025606117
18772, ,25728,CP-61   293 ,4861.0,1266.0,60.32529166666666,-61.07905555555555,4.97,,iot,Ret,HD  25728,04 01 18.07,-61 04 44.6,4.97,60.32529605,-61.07905148,9.85,66.66,94.51,0.45,1.386, ,60.32563108,-61.07882177,101.52284263959392,-43.993225697758355,-77.20750546309918,49.096687978878506
18788, ,25340,BD-01   572 ,4828.0,1244.0,60.38345833333332,-1.5496388888888888,5.28,35.0, ,Eri,HD  25340,04 01 32.03,-01 32 58.7,5.28,60.38347446,-1.54962625,7.2,27.96,-13.79,0.83,-0.133, ,60.38354244,-1.54965977,138.88888888888889,-1.8561749536350005,-3.2652634766826165,138.83809320845435
18907, ,25490,BD+05   581 ,4862.0,1251.0,60.78908333333332,5.989305555555554,3.91,38.0,nu.,Tau,HD  25490,04 03 09.38,+05 59 21.5,3.91,60.78907003,5.98930909,25.24,5.52,-1.63,0.87,0.032, ,60.78908352,5.98930513,39.61965134706815,2.0175123266534714,3.6082987283363592,39.40338306747438
18957, ,25558,BD+05   584 ,4876.0,1253.0,60.93583333333333,5.435638888888888,5.32,40.0, ,Tau,HD  25558,04 03 44.60,+05 26 08.3,5.32,60.93584928,5.43563754,3.12,1.23,-5.4,0.96,-0.08, ,60.93585228,5.43562441,320.5128205128205,14.749225947296257,26.538172568367106,319.0715497247767
19009, ,25555,BD+23   609A,4886.0,1252.0,61.09029166666666,24.106027777777776,5.46,36.0, ,Tau,HD  25555,04 04 21.67,+24 06 21.7,5.46,61.09030699,24.1060264,3.42,-0.31,-13.82,0.9,0.813, ,61.09030616,24.10599281,292.39766081871346,57.73272284533218,104.54077644791836,266.8980157752879
19038,M,25604,BD+21   585 ,4897.0,1256.0,61.173583333333326,22.082055555555552,4.36,37.0,A01,Tau,HD  25604,04 04 41.66,+22 04 55.4,4.36,61.17357446,22.0820679,18.04,91.73,-58.52,0.84,1.064, ,61.17381506,22.08192566,55.432372505543235,10.047643344559818,18.25665170640007,51.36620925555076
19076,M,25680,BD+21   587 ,4913.0,1262.0,61.33395833333333,22.00922222222222,5.9,39.0,A02,Tau,HD  25680,04 05 20.15,+22 00 33.2,5.9,61.33395641,22.00922152,59.79,172.61,-130.08,0.84,0.62, ,61.33440892,22.00890535,16.725204883759826,3.006718469394584,5.49961935270878,15.506331269028664
19167, ,25642,BD+49  1101 ,4924.0,1261.0,61.64608333333332,50.3513611111111,4.25,47.0,lam,Per,HD  25642,04 06 35.06,+50 21 04.9,4.25,61.64606374,50.35135022,9.41,-13.03,-36.37,0.84,-0.011, ,61.64601411,50.35126182,106.26992561105207,38.85997596623589,72.00839223590577,67.80848623057483
19171, ,25823,BD+27   633 ,4937.0,1268.0,61.65166666666666,27.600027777777772,5.18,41.0, ,Tau,HD  25823,04 06 36.40,+27 36 00.1,5.18,61.6516583,27.60002519,6.6,22.13,-50.18,0.85,-0.124,P,61.651719,27.59990322,151.51515151515153,33.33142821410792,61.778274880857666,134.27323554831128
19205, ,25867,BD+28   619 ,4944.0,1269.0,61.75216666666666,29.001277777777773,5.21,42.0,psi,Tau,HD  25867,04 07 00.52,+29 00 04.6,5.21,61.75215574,29.00128762,36.26,-94.03,4.9,1.0,0.359, ,61.75189443,29.00129953,27.578599007170435,6.328268334905604,11.778548365396258,24.120488002603807
19302, ,25975,BD+37   881 ,4966.0,1277.0,62.06441666666666,37.72797222222222,6.07,49.0, ,Per,HD  25975,04 08 15.46,+37 43 40.7,6.07,62.06442382,37.72797171,22.66,-100.33,-197.03,0.7,0.943, ,62.0641155,37.72749282,44.1306266548985,12.650849593592145,23.85745664548622,34.90401088590096
19335, ,25998,BD+37   882 ,4973.0,1278.0,62.152041666666655,38.04022222222222,5.52,50.0, ,Per,HD  25998,04 08 36.49,+38 02 24.8,5.52,62.15206221,38.04022796,46.87,163.93,-203.52,0.77,0.52, ,62.15256811,38.03973329,21.335609131640712,6.141463094271758,11.624725582043794,16.803464024480935
19343,X,25940,BD+47   939 ,4967.0,1273.0,62.16529166666666,47.71258333333333,3.96,48.0,c,Per,HD  25940,04 08 39.67,+47 42 45.3,3.96,62.16530527,47.71259359,5.89,20.19,-33.26,0.72,-0.025, ,62.1653782,47.71251275,169.77928692699493,58.64504936399235,111.06709692481424,114.23600323552856
19388,X,26162,BD+19   672 ,4995.0,1283.0,62.29124999999999,19.609305555555554,5.51,43.0, ,Tau,HD  26162,04 09 09.90,+19 36 33.5,5.51,62.29125233,19.60929366,11.21,107.44,-31.64,0.87,1.077, ,62.29152955,19.60921676,89.20606601248883,13.92047192285294,26.504756198519186,84.0323781272828
19483, ,26409,BD-07   758 ,5027.0,1290.0,62.59383333333332,-6.923833333333333,5.44,37.0, ,Eri,HD  26409,04 10 22.52,-06 55 25.8,5.44,62.59383269,-6.92382327,8.65,3.44,-11.99,0.82,0.941, ,62.59384111,-6.92385241,115.60693641618498,-6.414855980884467,-12.372252371051918,114.76384771149557
19513, ,26322,BD+26   686 ,5020.0,1287.0,62.707833333333326,26.481027777777776,5.39,44.0,p,Tau,HD  26322,04 10 49.88,+26 28 51.7,5.39,62.70783742,26.48103948,16.72,-30.81,-36.1,0.93,0.352,P,62.70775376,26.48095174,59.80861244019139,12.228368876824883,23.699980275197635,53.533616089225276
19515, ,26612,CD-42  1400 ,5051.0,1302.0,62.71012499999999,-41.99374999999999,4.93,,del,Hor,HD  26612,04 10 50.43,-41 59 37.5,4.93,62.71013758,-41.99374121,18.61,199.09,69.1,0.59,0.334, ,62.71078866,-41.99357326,53.734551316496514,-16.4832996096651,-31.949659648689924,39.93647565191609
19554, ,26462,BD+05   601 ,5042.0,1292.0,62.83416666666666,5.523027777777777,5.71,45.0, ,Tau,HD  26462,04 11 20.20,+05 31 22.9,5.71,62.83414887,5.52303505,25.89,146.86,5.0,0.95,0.36, ,62.83450749,5.5230472,38.62495171881035,1.697284801909473,3.307408806274127,38.4456391099149
19587,M,26574,BD-07   764 ,5056.0,1298.0,62.96637499999999,-6.837777777777776,4.04,38.0,omi01,Eri,HD  26574,04 11 51.93,-06 50 16.0,4.04,62.96638834,-6.8377787,25.98,11.92,81.28,1.04,0.327,P,62.96641752,-6.83758114,38.49114703618168,-2.0829000453143105,-4.0819975158770845,38.21736809151777
19719, ,26690,BD+07   617 ,5089.0,1309.0,63.38795833333332,7.716027777777777,5.29,46.0, ,Tau,HD  26690,04 13 33.11,+07 42 57.7,5.29,63.38794242,7.7160341,27.04,-3.99,4.45,0.9,0.366, ,63.38793263,7.71604492,36.98224852071006,2.2242191224044348,4.439332337412396,36.64739940761276
19740, ,26722,BD+08   652 ,5100.0,1311.0,63.48495833333333,9.263888888888888,4.84,47.0, ,Tau,HD  26722,04 13 56.39,+09 15 50.0,4.84,63.48496228,9.26389844,8.78,-9.42,-30.6,1.39,0.799, ,63.48493908,9.26382406,113.89521640091117,8.185370535076602,16.406525757130385,112.40972351533696
