source_id,ra,dec,pseudocolour,rp,bp,dist,gmag,x,y,z,x_norm,y_norm,z_norm,R,G,B,Name
6838311796136238976,326.76139246141946,-16.128607188133948,1.4783916,2.6031075,3.2903588,11.628346,2.836813,-10.607873888885727,-0.37946204747820983,4.74841561025739,-0.0010607873888885727,-3.7946204747820985e-05,0.000474841561025739,6,239,8,Deneb Algedi
1824534959611831680,296.84697410021977,18.53431498544213,1.2985176,2.2010698,4.136857,166.36938,2.8368227,5.302742340924186,158.08206745266108,-51.58208482741361,0.0005302742340924186,0.015808206745266108,-0.005158208482741361,5,238,10,
6875990375999580544,305.2529803545091,-14.781406001156812,1.7606509,2.418401,3.4970086,118.290924,2.8368742,61.70679580146986,35.20758124544046,-94.58033767932524,0.006170679580146986,0.003520758124544046,-0.009458033767932524,6,239,8,Dabih
205499655242974464,75.49223197537926,43.8232966883712,1.5427684,2.4622104,3.4227417,1062.489,2.847648,1044.4545307882586,98.47765535281704,-168.2253239946065,0.10444545307882586,0.009847765535281704,-0.01682253239946065,6,239,8,Almaaz
6674382927491854848,309.3921343889334,-47.2912080024033,1.4372452,2.3804884,3.6026647,30.370678,2.8521497,-1.6385150660379975,-29.901690536872778,5.057890231622618,-0.00016385150660379975,-0.0029901690536872777,0.0005057890231622618,6,239,9,
2769202742740232960,3.3089703843753013,15.183550741446307,1.9179891,3.0053737,3.1004689,145.8271,2.8534293,124.46652773933059,21.029677007626255,73.01629442719867,0.012446652773933059,0.0021029677007626253,0.007301629442719867,7,239,7,Algenib
1823067317695766784,299.6895907690142,19.4922471120651,1.378061,2.2505422,3.947543,88.08431,2.8593628,-23.015550674422236,-66.64815748898945,52.793495798744566,-0.0023015550674422235,-0.006664815748898946,0.005279349579874457,5,239,10,
2610370969483589888,343.1537089468947,-7.579451402482835,1.3612996,2.187995,4.121875,108.69729,2.8595295,-22.151529915317568,-19.432695768634204,-104.62686514905526,-0.0022151529915317566,-0.0019432695768634204,-0.010462686514905527,5,238,10,
4039970797062166400,267.4647360322948,-37.0432231563698,1.3973864,2.3466864,3.6930728,40.3425,2.860071,-29.069683305171683,-13.309473530199098,24.60342929625771,-0.002906968330517168,-0.0013309473530199098,0.002460342929625771,5,239,9,Fuyue
5958043164999014400,266.8961644868148,-40.127021345862346,1.4622514,2.5202127,3.4239361,845.6093,2.8666828,633.0591872203928,-88.7025979990277,-553.5548778852631,0.06330591872203928,-0.008870259799902771,-0.05535548778852631,6,239,8,
2199493438511811712,332.7137697826255,58.20128527773775,1.4234596,2.2879689,3.8604443,304.51245,2.8701382,-23.812307419182954,7.237095374299021,303.49370779461003,-0.0023812307419182953,0.0007237095374299021,0.030349370779461003,5,239,9,
583588100209595776,133.84799100696154,5.945628593892272,1.4341063,2.4316075,3.6310704,46.85293,2.8702028,-14.338255113618908,41.81910998208154,-15.516878880375696,-0.0014338255113618909,0.004181910998208155,-0.0015516878880375696,6,239,9,
5253347574087339776,154.27049434677835,-61.3322788093693,1.4199016,2.3154151,3.8724155,232.18369,2.8710227,-15.617915004911497,-5.392388926767877,231.59505343287867,-0.0015617915004911497,-0.0005392388926767877,0.023159505343287867,5,239,9,
2858629802998456576,9.832595312681915,30.86050281776377,1.5937283,2.3436282,3.7642562,31.760933,2.8720777,-24.773335052337117,-10.70303947545244,-16.747647040764893,-0.0024773335052337116,-0.001070303947545244,-0.0016747647040764892,5,239,9,
6235406071207202688,239.7129047279004,-26.114226866466357,2.2387395,3.005157,2.9451551,102.71831,2.8735147,33.1214907552985,46.499366491874625,-85.3921950488281,0.00331214907552985,0.004649936649187463,-0.00853921950488281,7,239,7,Fang
5538814190283894656,116.31367447237092,-37.96856044058731,1.280813,2.2165406,4.063076,341.72055,2.875049,-328.4708043308545,-24.597800287703148,-90.96600032732152,-0.03284708043308545,-0.0024597800287703146,-0.009096600032732152,5,238,10,
4444057469252265984,254.41575470820635,9.374984808370574,1.4429524,2.377902,3.6867857,26.883678,2.8820894,26.812298482189806,-1.4291121760149441,1.3380699899527198,0.0026812298482189805,-0.0001429112176014944,0.00013380699899527196,6,239,9,
5823248090239625088,229.72661750917956,-68.67968528286241,1.7059641,2.8071659,3.1268473,58.40795,2.882312,-48.975803523635115,-20.152002967968826,24.632419060980702,-0.004897580352363511,-0.0020152002967968826,0.0024632419060980704,7,239,7,
229898024422755840,59.4635951705249,40.0100950978535,1.860824,3.0281403,3.0366888,189.41818,2.904279,124.48088356478374,-28.70884193502557,139.85549304976504,0.012448088356478374,-0.002870884193502557,0.013985549304976504,7,239,7,
1517698716348324992,194.0056156711975,38.31862104268021,1.5090696,2.9376268,3.1570334,30.44808,2.9043932,17.74272024710732,-17.312594074092438,17.67924037805322,0.001774272024710732,-0.0017312594074092437,0.001767924037805322,7,239,8,Cor Caroli
2079784488001577600,296.2439176177008,45.13102484391075,1.9173234,2.896631,3.1492846,46.99356,2.9163165,11.443763314902972,15.480149845813761,42.86956873374437,0.0011443763314902971,0.0015480149845813762,0.004286956873374438,7,239,8,Fawaris
2093931938472201600,283.62614120001314,36.89862858866195,1.3677231,2.2079637,4.5929546,236.6844,2.922179,104.65728270609358,127.3250746662179,-169.86666459661487,0.010465728270609358,0.01273250746662179,-0.016986666459661487,5,237,11,
5249119024128109952,146.77535748906328,-65.07197322907481,1.6535019,2.6290834,3.3240633,277.02554,2.9269278,109.581478508956,-132.4211522419085,-217.254891358073,0.0109581478508956,-0.013242115224190849,-0.0217254891358073,6,239,8,
2281778105594488192,354.83578083298244,77.63312481414683,1.4812523,2.4036362,3.6605105,13.782625,2.9429574,8.38073508397819,-1.3885244818713427,10.853388001266977,0.0008380735083978189,-0.00013885244818713426,0.0010853388001266977,6,239,9,Errai
6270558110774003968,211.59312413128,-26.68298802578797,1.4057307,2.442711,3.7761185,32.287865,2.948431,-0.2971400558000315,-0.5931936101051346,-32.28104792887608,-2.971400558000315e-05,-5.931936101051346e-05,-0.003228104792887608,6,239,9,
3520586071217872896,187.46509027380264,-16.51605134463174,1.7211396,2.949156,3.1486783,26.280506,2.9649055,-9.340124936416187,15.57012566532737,18.99995390926216,-0.0009340124936416187,0.001557012566532737,0.0018999953909262161,7,239,8,Algorab
6007749027577770496,230.4510369940133,-36.26175434023988,1.3171288,2.3475041,4.00992,85.43725,2.965608,-5.0057422450305396,-10.205276418038835,84.67773358664152,-0.000500574224503054,-0.0010205276418038835,0.008467773358664152,5,238,10,
6762701233364896000,286.734746992432,-27.67154143141872,1.4287307,2.4567673,3.8061733,35.208836,2.9668314,19.145826211704854,21.786212993737948,-19.96147275472366,0.0019145826211704855,0.002178621299373795,-0.001996147275472366,6,239,9,
1614731957531452544,231.23232031031,58.96614273564597,1.3477725,2.4086325,3.7606664,30.750261,2.9729202,-7.360810692610406,21.826779206945243,20.371272099869852,-0.0007360810692610407,0.002182677920694524,0.0020371272099869854,6,239,9,Edasich
