HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
38872, ,65551,CD-43  3766 ,10775.0,3116.0,119.32679166666664,-44.10988888888888,5.08,,N,Pup,HD  65551,07 57 18.43,-44 06 35.6,5.08,119.32679394,-44.10987569,2.54,-11.48,6.92,0.5,-0.166, ,119.32675508,-44.10985887,393.70078740157476,-138.45369087569512,246.45147628700653,274.03020877172014
38901, ,65456,CD-29  5236 ,10774.0,3113.0,119.41712499999998,-30.334583333333327,4.76,,chi,Pup,HD  65456,07 57 40.11,-30 20 04.5,4.76,119.41713237,-30.33458703,2.26,-8.11,7.14,0.58,0.151, ,119.41710953,-30.33456968,442.47787610619474,-187.57489844699356,332.6592965988536,223.4728634586424
38917, ,65685,CD-45  3611 ,10790.0,3121.0,119.46554166666664,-45.57775,5.14,,O,Pup,HD  65685,07 57 51.73,-45 34 39.9,5.14,119.46555642,-45.57774475,10.87,-17.29,31.33,0.47,1.263, ,119.46549638,-45.5776686,91.99632014719411,-31.67441324634144,56.062979685558666,65.70385662121866
38957, ,65818,CD-48  3349 ,10802.0,3129.0,119.56016666666665,-49.24491666666666,4.47,,V,Pup,HD  65818,07 58 14.44,-49 14 41.7,4.47,119.56018303,-49.24492865,2.8,-7.48,6.91,0.51,-0.18, ,119.56015518,-49.24491185,357.14285714285717,-115.0228075004213,202.80492015687847,270.5382385598133
38962, ,65345,BD+02  1833 ,10776.0,3110.0,119.58645833333333,2.224527777777777,5.3,14.0, ,CMi,HD  65345,07 58 20.75,+02 13 28.3,5.3,119.58644862,2.22452544,12.33,-162.54,99.28,0.96,0.933, ,119.58605326,2.22476675,81.10300081103,-40.01332251386232,70.47496349651475,-3.148060056683135
39023, ,65699,BD-22  2104 ,10805.0,3123.0,119.77383333333331,-23.310388888888884,5.09,12.0, ,Pup,HD  65699,07 59 05.72,-23 18 37.4,5.09,119.77384363,-23.31040264,4.15,-11.74,2.75,0.69,1.111, ,119.77381256,-23.31039596,240.96385542168673,-109.89018857402932,192.0824450400648,95.35229615629768
39079, ,65695,BD-03  2157 ,10811.0,3122.0,119.93408333333332,-3.679583333333333,4.93,27.0, ,Mon,HD  65695,07 59 44.18,-03 40 46.5,4.93,119.93410303,-3.67957835,13.06,-55.17,-1.84,0.96,1.205, ,119.93396866,-3.67958282,76.5696784073507,-38.129760256023395,66.21849995971903,4.9139899580663435
39138,X,66591,CP-63   866 ,10893.0,3159.0,120.08320833333332,-63.56749999999999,4.81,,D,Car,HD  66591,08 00 19.97,-63 34 03.0,4.81,120.08320513,-63.56750271,6.02,-1.88,19.31,0.49,-0.173, ,120.08319486,-63.56745578,166.11295681063126,-37.064985181884964,63.98366571018024,148.74740944340914
39177, ,65759,BD+17  1731 ,10845.0,3128.0,120.197125,17.30872222222222,5.6,3.0, ,Cnc,HD  65759,08 00 47.31,+17 18 31.4,5.6,120.19714045,17.30870968,4.52,-10.34,-2.73,1.01,1.317, ,120.19711413,17.30870304,221.23893805309737,-106.23883733117484,182.55766866615443,-65.8230564814564
39191,X,65714,BD+25  1812 ,10844.0,3124.0,120.23274999999998,25.39283333333333,5.87,2.0,ome,Cnc,HD  65714,08 00 55.86,+25 23 34.2,5.87,120.23275932,25.39282019,2.9,17.78,6.49,0.89,1.021, ,120.23280716,25.39283596,344.82758620689657,-156.8513341790157,269.14359376873244,-147.86970314702387
